english_word,word_class,tamil_translation,transliteration,verb_transitivity,level
worth (financial value),noun,மதிப்பு / விலைமதிப்பு,matippu / vilaimatippu,,b2
worth (merit or importance),noun,தகுதி / முக்கியத்துவம்,takuti / mukkiyattuvam,,b2
wound (emotional trauma),noun,மனக்காயம் / மன உளைச்சல்,maṉakkāyam / maṉa uḷaiccal,,b2
wound (physical injury),noun,காயம் / புண்,kāyam / puṇ,,b2
wrist,noun,மணிக்கட்டு,maṇikkaṭṭu,,b2
wrong (a mistake or injustice),adverb,தவறாக,tavaṟāka,,b2
"wrong (a mistake, fault)",noun,தவறு / பிழை,tavaṟu / piḻai,,b2
"wrong (injustice, harm)",noun,அநீதி / தவறு / தீங்கு,anīti / tavaṟu / tīṅku,,b2
yet (adverb: time),adverb,இன்னும்,iṉṉum,,b2
yet (conjunction: contrast),conjunction,ஆனாலும் / இருப்பினும்,āṉālum / iruppiṉum,,b2
zone,noun,மண்டலம் / பகுதி,maṇṭalam / pakuti,,b2
zone (state of focus),noun,ஆழ்ந்த கவனம் / ஒருமுகப்பட்ட நிலை,āḻnta kavaṉam / orumukappaṭṭa nilai,,b2
a riot of color,noun,வண்ணங்களின் கொண்டாட்டம் / வண்ணங்களின் ஆரவாரம்,vaṇṇaṅkaḷiṉ koṇṭāṭṭam / vaṇṇaṅkaḷiṉ āravāram,,c1
abortion,noun,கருக்கலைப்பு,karukkalaippu,,c1
absence (lack or non-existence),noun,இல்லாமை / இன்மை,illāmai / iṉmai,,c1
absent (distracted),adjective,கவனக்குறைவான / கவனச்சிதறல் கொண்ட,kavaṉakkuṟaivāṉa / kavaṉaccitaṟal koṇṭa,,c1
absent (not present),adjective,இல்லாத / வருகை தராத,illāta / varukai tarāta,,c1
absurd (philosophical),adjective,அபத்தமான / பொருளற்ற,apattamāṉa / poruḷaṟṟa,,c1
abundance (prosperity),noun,செழிப்பு / வளமை,ceḻippu / vaḷamai,,c1
abuse (maltreatment),noun,துஷ்பிரயோகம் / கொடுமை / துன்புறுத்தல் / வன்முறை,tuṣpirayōkam / koṭumai / tuṉpuṟuttal / vaṉmuṟai,,c1
abuse (misuse),noun,துஷ்பிரயோகம் / தவறான பயன்பாடு / முறைகேடு,tuṣpirayōkam / tavaṟāṉa payaṉpāṭu / muṟaikēṭu,,c1
academy,noun,அகாடமி / கல்வி நிறுவனம் / கழகம் / பயிற்சி நிலையம்,akāṭami / kalvi niṟuvaṉam / kaḻakam / payiṟci nilaiyam,,c1
acceptance (social integration or recognition),noun,ஏற்பு / அங்கீகாரம் / ஏற்றுக்கொள்ளுதல்,ēṟpu / aṅkīkāram / ēṟṟukkoḷḷutal,,c1
accessible (able to be reached or obtained),adjective,அணுகக்கூடிய / அடையக்கூடிய / கிடைக்கும்,aṇukakkūṭiya / aṭaiyakkūṭiya / kiṭaikkum,,c1
accessible (easy to understand or approach),adjective,எளிதில் புரியக்கூடிய / அணுக எளிதான / சுலபமான,eḷitil puriyakkūṭiya / aṇuka eḷitāṉa / culapamāṉa,,c1
accomplishment (achievement),noun,சாதனை / வெற்றி / நிறைவேற்றம்,cātaṉai / veṟṟi / niṟaivēṟṟam,,c1
accomplishment (skill or social grace),noun,திறமை / ஆற்றல் / சிறப்புத் திறன்,tiṟamai / āṟṟal / ciṟapput tiṟaṉ,,c1
accordance,noun,இணக்கம் / ஒத்திசைவு,iṇakkam / otticaivu,,c1
accordingly (consequently),adverb,அதன்படி / அதனால் / இதன் விளைவாக,ataṉpaṭi / ataṉāl / itaṉ viḷaivāka,,c1
accordingly (suitably),adverb,அதற்கேற்ப / பொருத்தமாக / தகுந்தவாறு,ataṟkēṟpa / poruttamāka / takuntavāṟu,,c1
accountability,noun,பொறுப்புக்கூறல் / பொறுப்புடைமை / கடமை,poṟuppukkūṟal / poṟuppuṭaimai / kaṭamai,,c1
accountable,adjective,பொறுப்புக்கூற வேண்டிய / பொறுப்புள்ள / கடமைப்பட்ட,poṟuppukkūṟa vēṇṭiya / poṟuppuḷḷa / kaṭamaippaṭṭa,,c1
accumulation,noun,குவிப்பு / திரட்சி / சேகரிப்பு,kuvippu / tiraṭci / cēkarippu,,c1
accusation (formal imputation),noun,குற்றச்சாட்டு / பழிசுமத்துதல்,kuṟṟaccāṭṭu / paḻicumattutal,,c1
accused,noun,குற்றம் சாட்டப்பட்டவர் / பிரதிவாதி,kuṟṟam cāṭṭappaṭṭavar / pirativāti,,c1
acid (caustic or sarcastic),adjective,கசப்பான / எள்ளலான / காரமான,kacappāṉa / eḷḷalāṉa / kāramāṉa,,c1
acid (taste or chemical property),adjective,அமில / புளிப்பு,amila / puḷippu,,c1
"acquisition (act of obtaining, gaining)",noun,பெறுதல் / கையகப்படுத்துதல் / அடைதல்,peṟutal / kaiyakappaṭuttutal / aṭaital,,c1
acquisition (corporate takeover),noun,கையகப்படுத்துதல் / இணைப்பு,kaiyakappaṭuttutal / iṇaippu,,c1
acre,noun,ஏக்கர் / நில அளவு,ēkkar / nila aḷavu,,c1
activation,noun,செயல்படுத்துதல் / தூண்டுதல் / இயக்கம்,ceyalpaṭuttutal / tūṇṭutal / iyakkam,,c1
activist,noun,ஆர்வலர் / செயற்பாட்டாளர் / போராளி,ārvalar / ceyaṟpāṭṭāḷar / pōrāḷi,,c1
"acute (keen, shrewd)",adjective,கூர்மையான / நுட்பமான / புத்திசாலித்தனமான,kūrmaiyāṉa / nuṭpamāṉa / putticālittaṉamāṉa,,c1
"acute (medical, severe)",adjective,தீவிரமான / கடுமையான,tīviramāṉa / kaṭumaiyāṉa,,c1
"adaptation (of a work, e.g., book to film)",noun,தழுவல் / மாற்றுருவாக்கம் / மறுவடிவம்,taḻuval / māṟṟuruvākkam / maṟuvaṭivam,,c1
adaptation (process of adjusting),noun,தகவமைப்பு / பொருத்தம் / இசைவாக்கம்,takavamaippu / poruttam / icaivākkam,,c1
adjacent (geometric or technical),adjective,அடுத்துள்ள / அருகிலுள்ள / அண்மையிலுள்ள,aṭuttuḷḷa / arukiluḷḷa / aṇmaiyiluḷḷa,,c1
adjacent (physically located),adjective,அருகிலுள்ள / அடுத்துள்ள / பக்கத்திலுள்ள,arukiluḷḷa / aṭuttuḷḷa / pakkattiluḷḷa,,c1
"adjacent (touching, contiguous)",adjective,ஒட்டியுள்ள / அருகருகே உள்ள / அடுத்தடுத்துள்ள,oṭṭiyuḷḷa / arukarukē uḷḷa / aṭuttaṭuttuḷḷa,,c1
adjustment (adaptation),noun,தகவமைப்பு / சரிசெய்தல் / இசைவாக்கம்,takavamaippu / cariceytal / icaivākkam,,c1
adjustment (modification),noun,மாற்றம் / சீரமைப்பு / திருத்தம்,māṟṟam / cīramaippu / tiruttam,,c1
administrative,adjective,நிர்வாக / ஆட்சித்துறை / மேலாண்மை,nirvāka / āṭcittuṟai / mēlāṇmai,,c1
administrator (IT context),noun,நிர்வாகி / கணினி நிர்வாகி,nirvāki / kaṇiṉi nirvāki,,c1
"admission (of guilt, mistake)",noun,ஒப்புதல் / ஒத்துக்கொள்ளுதல் / குற்ற ஒப்புதல்,opputal / ottukkoḷḷutal / kuṟṟa opputal,,c1
"admission (of guilt, truth)",noun,ஒப்புதல் / ஒத்துக்கொள்ளுதல் / உண்மையை ஒப்புக்கொள்ளுதல்,opputal / ottukkoḷḷutal / uṇmaiyai oppukkoḷḷutal,,c1
"admission (to an institution, place)",noun,அனுமதி / சேர்க்கை / நுழைவு,aṉumati / cērkkai / nuḻaivu,,c1
adolescent,noun,பதின்ம வயதுடையவர் / இளம் பருவத்தினர் / வளரிளம் பருவத்தினர்,patiṉma vayatuṭaiyavar / iḷam paruvattiṉar / vaḷariḷam paruvattiṉar,,c1
adoption (of a child),noun,தத்தெடுப்பு,tatteṭuppu,,c1
adoption (of a method or technology),noun,ஏற்றுக்கொள்வது / நடைமுறைப்படுத்துதல் / பின்பற்றுதல்,ēṟṟukkoḷvatu / naṭaimuṟaippaṭuttutal / piṉpaṟṟutal,,c1
adverse,adjective,பாதகமான / எதிர்மறையான / விரும்பத்தகாத,pātakamāṉa / etirmaṟaiyāṉa / virumpattakāta,,c1
advocate (lawyer),noun,வக்கீல் / வழக்கறிஞர் / சட்டத்தரணி,vakkīl / vaḻakkaṟiñar / caṭṭattaraṇi,,c1
advocate (supporter of a cause),noun,ஆதரவாளர் / பரிந்துரையாளர் / சார்பாளர்,ātaravāḷar / parinturaiyāḷar / cārpāḷar,,c1
aesthetic,adjective,அழகியல் சார்ந்த / கலைநயம் மிக்க,aḻakiyal cārnta / kalainayam mikka,,c1
"affection (familial, cherishing)",noun,பாசம் / அன்பு / பிரியம்,pācam / aṉpu / piriyam,,c1
"affluence, wealth",noun,செல்வம் / செழிப்பு / வசதி,celvam / ceḻippu / vacati,,c1
aftermath (serious consequences),noun,பின்விளைவுகள் / விளைவுகள் / பாதிப்புகள்,piṉviḷaivukaḷ / viḷaivukaḷ / pātippukaḷ,,c1
"aggression (state, military action)",noun,ஆக்கிரமிப்பு / அத்துமீறல் / தாக்குதல்,ākkiramippu / attumīṟal / tākkutal,,c1
agricultural,adjective,விவசாய / வேளாண்மை / உழவு சார்ந்த,vivacāya / vēḷāṇmai / uḻavu cārnta,,c1
aide (personal attendant),noun,உதவியாளர் / தனி உதவியாளர் / துணை,utaviyāḷar / taṉi utaviyāḷar / tuṇai,,c1
aide (political assistant),noun,உதவியாளர் / ஆலோசகர் / துணை,utaviyāḷar / ālōcakar / tuṇai,,c1
albeit,conjunction,இருந்தாலும் / எனினும் / ஆயினும்,iruntālum / eṉiṉum / āyiṉum,,c1
alert (quick-witted),adjective,சுறுசுறுப்பான / விழிப்புணர்வுள்ள / கூர்மையான,cuṟucuṟuppāṉa / viḻippuṇarvuḷḷa / kūrmaiyāṉa,,c1
alert (vigilant),noun,எச்சரிக்கை / விழிப்புணர்வு / அறிவிப்பு,eccarikkai / viḻippuṇarvu / aṟivippu,,c1
"alert (watchful, vigilant)",adjective,விழிப்புடன் / எச்சரிக்கையாக / கவனமாக,viḻippuṭaṉ / eccarikkaiyāka / kavaṉamāka,,c1
alertness (vigilance),noun,விழிப்புணர்வு / எச்சரிக்கை உணர்வு / சுறுசுறுப்பு,viḻippuṇarvu / eccarikkai uṇarvu / cuṟucuṟuppu,,c1
alien (extraterrestrial),adjective,வேற்றுக்கிரக / அன்னிய,vēṟṟukkiraka / aṉṉiya,,c1
alignment (agreement or alliance),noun,கூட்டணி / ஒருங்கிணைப்பு / ஒத்துழைப்பு,kūṭṭaṇi / oruṅkiṇaippu / ottuḻaippu,,c1
alignment (physical arrangement),noun,சீரமைப்பு / ஒழுங்குபடுத்துதல் / வரிசைப்படுத்தல்,cīramaippu / oḻuṅkupaṭuttutal / varicaippaṭuttal,,c1
alike (both x and y),adjective,ஒரே மாதிரியான / ஒத்த / சமமான,orē mātiriyāṉa / otta / camamāṉa,,c1
alike (both X and Y),adverb,ஒரே மாதிரியாக / சமமாக / ஒருசேர,orē mātiriyāka / camamāka / orucēra,,c1
alike (in the same way),adverb,ஒரே விதமாக / ஒத்த விதத்தில் / சமமாக,orē vitamāka / otta vitattil / camamāka,,c1
allegation,noun,குற்றச்சாட்டு / புகார் / கூற்று,kuṟṟaccāṭṭu / pukār / kūṟṟu,,c1
allegedly,adverb,கூறப்படும்படி / குற்றச்சாட்டின்படி / சொல்லப்படுவது போல,kūṟappaṭumpaṭi / kuṟṟaccāṭṭiṉpaṭi / collappaṭuvatu pōla,,c1
alliance (union or consortium),noun,கூட்டணி / கூட்டு / சங்கம்,kūṭṭaṇi / kūṭṭu / caṅkam,,c1
allied nation,noun,நட்பு நாடு / கூட்டணி நாடு,naṭpu nāṭu / kūṭṭaṇi nāṭu,,c1
allocation (share or quota received),noun,ஒதுக்கீடு / பங்கு / பகுதி,otukkīṭu / paṅku / pakuti,,c1
allowance (financial stipend),noun,படி / உதவித்தொகை / கொடுப்பனவு,paṭi / utavittokai / koṭuppaṉavu,,c1
allowance (limit or permitted quota),noun,அனுமதி / வரம்பு / ஒதுக்கீடு,aṉumati / varampu / otukkīṭu,,c1
"ally (nation, political partner)",noun,நட்பு நாடு / கூட்டணி நாடு / கூட்டாளி,naṭpu nāṭu / kūṭṭaṇi nāṭu / kūṭṭāḷi,,c1
ally (supporter of marginalized group),noun,ஆதரவாளர் / துணை நிற்பவர் / கூட்டாளி,ātaravāḷar / tuṇai niṟpavar / kūṭṭāḷi,,c1
aluminium,noun,அலுமினியம்,alumiṉiyam,,c1
amateur (incompetent person),noun,திறமையற்றவர் / அனுபவமற்றவர் / புதியவர்,tiṟamaiyaṟṟavar / aṉupavamaṟṟavar / putiyavar,,c1
amateur (non-professional),adjective,தொழில்முறை அல்லாத / பொழுதுபோக்கு / அனுபவமற்ற,toḻilmuṟai allāta / poḻutupōkku / aṉupavamaṟṟa,,c1
amateur (unskilled),adjective,திறமையற்ற / அனுபவமற்ற / பயிற்சி அற்ற,tiṟamaiyaṟṟa / aṉupavamaṟṟa / payiṟci aṟṟa,,c1
"ambassador (brand, goodwill)",noun,பிராண்ட் தூதுவர் / நற்பெயர் தூதுவர்,pirāṇṭ tūtuvar / naṟpeyar tūtuvar,,c1
ambassador (diplomatic),noun,தூதுவர் / தூதர்,tūtuvar / tūtar,,c1
ambassador (representative),noun,பிரதிநிதி / தூதுவர்,piratiniti / tūtuvar,,c1
amendment,noun,திருத்தம் / சீரமைப்பு,tiruttam / cīramaippu,,c1
amid (during a condition or event),preposition,மத்தியில் / இடையே / நடுவே,mattiyil / iṭaiyē / naṭuvē,,c1
analogy,noun,உவமை / ஒப்புமை / ஒப்பீடு,uvamai / oppumai / oppīṭu,,c1
"anchor (broadcast, news presenter)",noun,செய்தி வாசிப்பாளர் / தொகுப்பாளர் / அங்கர்,ceyti vācippāḷar / tokuppāḷar / aṅkar,,c1
angel (investor),noun,ஏஞ்சல் முதலீட்டாளர்,ēñcal mutalīṭṭāḷar,,c1
angel (kind person),noun,தேவதை / அன்பு மனம் கொண்டவர்,tēvatai / aṉpu maṉam koṇṭavar,,c1
anonymous,adjective,அநாமதேய / பெயரற்ற / அடையாளம் தெரியாத,anāmatēya / peyaraṟṟa / aṭaiyāḷam teriyāta,,c1
apparatus (equipment),noun,சாதனம் / கருவி / உபகரணம்,cātaṉam / karuvi / upakaraṇam,,c1
apparatus (system),noun,அமைப்பு / பொறிமுறை,amaippu / poṟimuṟai,,c1
appealing,adjective,கவர்ச்சிகரமான / மனதை ஈர்க்கும்,kavarccikaramāṉa / maṉatai īrkkum,,c1
appetite (for food),noun,பசி / உணவு விருப்பம்,paci / uṇavu viruppam,,c1
"appetite (strong desire, zest)",noun,ஆர்வம் / விருப்பம் / தீவிரம்,ārvam / viruppam / tīviram,,c1
applicable,adjective,பொருந்தக்கூடிய / பயன்படுத்தக்கூடிய,poruntakkūṭiya / payaṉpaṭuttakkūṭiya,,c1
appreciation (increase in financial value),noun,மதிப்பு உயர்வு / விலை உயர்வு,matippu uyarvu / vilai uyarvu,,c1
appreciation (understanding of value),noun,மதிப்புணர்தல் / பாராட்டு,matippuṇartal / pārāṭṭu,,c1
arbitrary (of power or rule),adjective,தன்னிச்சையான / நியாயமற்ற,taṉṉiccaiyāṉa / niyāyamaṟṟa,,c1
architectural,adjective,கட்டிடக்கலை சார்ந்த / கட்டிடக் கலைக்குரிய,kaṭṭiṭakkalai cārnta / kaṭṭiṭak kalaikkuriya,,c1
archive (digital file),noun,காப்பகக் கோப்பு / ஆவணக் காப்பகம்,kāppakak kōppu / āvaṇak kāppakam,,c1
arena (physical venue),noun,அரங்கம் / களப்பகுதி,araṅkam / kaḷappakuti,,c1
arena (sphere of activity),noun,களம் / செயல்பாட்டுத் தளம்,kaḷam / ceyalpāṭṭut taḷam,,c1
arguably,adverb,வாதிடக்கூடிய வகையில் / ஒருவகையில்,vātiṭakkūṭiya vakaiyil / oruvakaiyil,,c1
array (collection),noun,வரிசை / தொகுப்பு / அணி,varicai / tokuppu / aṇi,,c1
array (data structure),noun,அணி / வரிசை / தரவுத்தொடர்,aṇi / varicai / taravuttoṭar,,c1
as a courtesy,noun,மரியாதை நிமித்தமாக / உபசரிப்புக்காக,mariyātai nimittamāka / upacarippukkāka,,c1
"ash (sacred, ritual powder)",noun,திருநீறு / விபூதி,tirunīṟu / vipūti,,c1
"aspiration (medical, breathing)",noun,உள்ளிழுத்தல் / உறிஞ்சல்,uḷḷiḻuttal / uṟiñcal,,c1
assassination,noun,படுகொலை / கொலை,paṭukolai / kolai,,c1
assault (military offensive),noun,தாக்குதல் / திடீர்த்தாக்குதல்,tākkutal / tiṭīrttākkutal,,c1
assembly (act of joining parts),noun,பொருத்துதல் / ஒன்றிணைத்தல்,poruttutal / oṉṟiṇaittal,,c1
assembly (legislative body),noun,சட்டமன்றம் / பேரவை,caṭṭamaṉṟam / pēravai,,c1
assertion (of rights or authority),noun,வலியுறுத்தல் / நிலைநாட்டுதல்,valiyuṟuttal / nilaināṭṭutal,,c1
assertion (statement or claim),noun,கூற்று / உறுதிமொழி / பிரகடனம்,kūṟṟu / uṟutimoḻi / pirakaṭaṉam,,c1
"assurance (guarantee, promise)",noun,உறுதி / வாக்குறுதி,uṟuti / vākkuṟuti,,c1
assurance (self-confidence),noun,தன்னம்பிக்கை / துணிவு,taṉṉampikkai / tuṇivu,,c1
"asylum (institution, hospital)",noun,காப்பகம் / மனநல காப்பகம்,kāppakam / maṉanala kāppakam,,c1
asylum (political refuge),noun,புகலிடம் / அரசியல் புகலிடம்,pukaliṭam / araciyal pukaliṭam,,c1
at your disposal (idiomatic usage),noun,உங்கள் வசதிக்கு / உங்கள் சேவைக்கு,uṅkaḷ vacatikku / uṅkaḷ cēvaikku,,c1
atrocity,noun,கொடுமை / கொடூரம்,koṭumai / koṭūram,,c1
"attendance (record, register)",noun,வருகை / வருகைப் பதிவு,varukai / varukaip pativu,,c1
"attorney (legal agent, power of attorney)",noun,வழக்கறிஞர் / சட்டப் பிரதிநிதி,vaḻakkaṟiñar / caṭṭap piratiniti,,c1
attribute (quality),noun,பண்பு / இயல்பு / குணம்,paṇpu / iyalpu / kuṇam,,c1
"attribute (symbol, iconography)",noun,அடையாளம் / சின்னம்,aṭaiyāḷam / ciṉṉam,,c1
audit,noun,தணிக்கை,taṇikkai,,c1
authentic (genuine object),adjective,உண்மையான / அசல் / நம்பகமான,uṇmaiyāṉa / acal / nampakamāṉa,,c1
"authentic (sincere, true nature)",adjective,உண்மையான / நேர்மையான / இயல்பான,uṇmaiyāṉa / nērmaiyāṉa / iyalpāṉa,,c1
"auto (autorickshaw, complete name)",noun,ஆட்டோ / தானி,āṭṭō / tāṉi,,c1
autobiography,noun,சுயசரிதை / தன்வரலாறு,cuyacaritai / taṉvaralāṟu,,c1
autonomy (personal freedom),noun,தனிப்பட்ட சுதந்திரம் / சுயாதீனம் / தன்னாட்சி,taṉippaṭṭa cutantiram / cuyātīṉam / taṉṉāṭci,,c1
"autonomy (political, institutional)",noun,தன்னாட்சி / சுயாட்சி / சுயராஜ்யம்,taṉṉāṭci / cuyāṭci / cuyarājyam,,c1
"availability (of resources, stock)",noun,கிடைப்புத்தன்மை / இருப்பு / உள்ளமை,kiṭaipputtaṉmai / iruppu / uḷḷamai,,c1
"availability (of time, person)",noun,நேரம் / இருப்பு / கிடைப்பு,nēram / iruppu / kiṭaippu,,c1
back and forth,adverb,முன்னும் பின்னும் / அங்கும் இங்கும்,muṉṉum piṉṉum / aṅkum iṅkum,,c1
backdrop (context),noun,பின்னணி / சூழல்,piṉṉaṇi / cūḻal,,c1
backdrop (scenery),noun,பின்னணி / காட்சி,piṉṉaṇi / kāṭci,,c1
backing (lining),noun,உள்வரிசை / அடிப்புறம்,uḷvaricai / aṭippuṟam,,c1
backing (support),noun,ஆதரவு / துணை / பின்புலம்,ātaravu / tuṇai / piṉpulam,,c1
backup (data copy),noun,காப்பு நகல் / சேமிப்பு நகல் / பேக்கப்,kāppu nakal / cēmippu nakal / pēkkap,,c1
"backup (support, reinforcement)",noun,துணை / ஆதரவு / வலுவூட்டல்,tuṇai / ātaravu / valuvūṭṭal,,c1
bail,noun,ஜாமீன் / பிணை,jāmīṉ / piṇai,,c1
"ballot (the process, vote)",noun,வாக்குப்பதிவு / வாக்களிப்பு / தேர்தல்,vākkuppativu / vākkaḷippu / tērtal,,c1
ballot (voting paper),noun,வாக்குச்சீட்டு / வாக்காளர் சீட்டு,vākkuccīṭṭu / vākkāḷar cīṭṭu,,c1
banner (flag or standard),noun,பதாகை / கொடி,patākai / koṭi,,c1
banner (web advertisement),noun,பேனர் / விளம்பரப் பதாகை / பதாகை,pēṉar / viḷamparap patākai / patākai,,c1
bare (minimal amount),adjective,மிகக் குறைந்த / வெறும் / அற்பமான,mikak kuṟainta / veṟum / aṟpamāṉa,,c1
barrel (container),noun,பீப்பாய் / மரத்தொட்டி,pīppāy / marattoṭṭi,,c1
barrel (of a gun),noun,துப்பாக்கிக்குழல் / குழல்,tuppākkikkuḻal / kuḻal,,c1
bass (fish),noun,பாஸ் மீன்,pās mīṉ,,c1
bass (instrument),noun,பாஸ் இசைக்கருவி / பாஸ்,pās icaikkaruvi / pās,,c1
bass (sound frequency),noun,பாஸ் ஒலி / கனத்த ஒலி / குறைந்த அதிர்வெண்,pās oli / kaṉatta oli / kuṟainta atirveṇ,,c1
battlefield (metaphorical),noun,போராட்டக்களம் / போர்க்களம் / களமுனை,pōrāṭṭakkaḷam / pōrkkaḷam / kaḷamuṉai,,c1
bay (designated area),noun,ஒதுக்கப்பட்ட இடம் / பகுதி / இடம்,otukkappaṭṭa iṭam / pakuti / iṭam,,c1
bay (geographical feature),noun,விரிகுடா / குடா,virikuṭā / kuṭā,,c1
beam (ray of light),noun,கதிர் / ஒளிக்கதிர் / கற்றை,katir / oḷikkatir / kaṟṟai,,c1
beam (structural support),noun,உத்தரம் / சட்டம் / விட்டரம்,uttaram / caṭṭam / viṭṭaram,,c1
beast (cruel person),noun,கொடூரன் / மிருகம் / அரக்கன்,koṭūraṉ / mirukam / arakkaṉ,,c1
beast (wild animal),noun,மிருகம் / காட்டு விலங்கு / விலங்கு,mirukam / kāṭṭu vilaṅku / vilaṅku,,c1
behalf,noun,சார்பு / சார்பில் / பொருட்டு,cārpu / cārpil / poruṭṭu,,c1
beloved (person),noun,அன்புக்குரியவர் / பிரியமானவர் / காதலி / காதலன்,aṉpukkuriyavar / piriyamāṉavar / kātali / kātalaṉ,,c1
"bench (judiciary, court)",noun,நீதிபீடம் / அமர்வு,nītipīṭam / amarvu,,c1
bench (sports reserves),noun,மாற்று வீரர்கள் / இருப்பு வீரர்கள் / பெஞ்ச்,māṟṟu vīrarkaḷ / iruppu vīrarkaḷ / peñc,,c1
benchmark,noun,அளவுகோல் / தரக்குறியீடு / ஒப்பீட்டு அளவுகோல்,aḷavukōl / tarakkuṟiyīṭu / oppīṭṭu aḷavukōl,,c1
"beneath (unworthy of, lower status)",adjective,தகுதியற்ற / கீழான / இழிவான,takutiyaṟṟa / kīḻāṉa / iḻivāṉa,,c1
beneficiary,noun,பயனாளி / ஆதாயதாரர் / உரிமைதாரர்,payaṉāḷi / ātāyatārar / urimaitārar,,c1
bishop (chess piece),noun,மந்திரி / யானை,mantiri / yāṉai,,c1
bishop (religious official),noun,ஆயர் / பிஷப்,āyar / piṣap,,c1
bizarre,adjective,வினோதமான / விசித்திரமான / அபூர்வமான,viṉōtamāṉa / vicittiramāṉa / apūrvamāṉa,,c1
blade (cutting edge of a knife or razor),noun,கத்தி முனை / அலகு / கூர்முனை,katti muṉai / alaku / kūrmuṉai,,c1
blade (flat part of a leaf),noun,இலைப்பரப்பு / இலைத்தாள்,ilaipparappu / ilaittāḷ,,c1
blade (vane of a fan or propeller),noun,இறக்கை / விசிறி இறக்கை / சுழலி இறக்கை,iṟakkai / viciṟi iṟakkai / cuḻali iṟakkai,,c1
blast (enjoyable time),noun,கொண்டாட்டம் / மகிழ்ச்சி / குதூகலம்,koṇṭāṭṭam / makiḻcci / kutūkalam,,c1
blast (explosion),noun,வெடிப்பு / குண்டு வெடிப்பு / சீற்றம்,veṭippu / kuṇṭu veṭippu / cīṟṟam,,c1
blend,noun,கலவை / கலப்பு / இணைப்பு,kalavai / kalappu / iṇaippu,,c1
"blessing (boon, great advantage)",noun,வரம் / ஆசீர்வாதம் / நன்மை,varam / ācīrvātam / naṉmai,,c1
bonus,noun,போனஸ் / ஊக்கத்தொகை / கூடுதல் சலுகை,pōṉas / ūkkattokai / kūṭutal calukai,,c1
boom (economic growth),noun,வளர்ச்சி / பொருளாதார ஏற்றம் / செழிப்பு,vaḷarcci / poruḷātāra ēṟṟam / ceḻippu,,c1
boom (sound),noun,இடி முழக்கம் / பெரும் சத்தம் / முழக்கம்,iṭi muḻakkam / perum cattam / muḻakkam,,c1
"boundary (limit, scope)",noun,எல்லை / வரம்பு / பரப்பு,ellai / varampu / parappu,,c1
bow (of a ship),noun,கப்பல் முகப்பு / கப்பலின் முன் பகுதி,kappal mukappu / kappaliṉ muṉ pakuti,,c1
breach (physical gap),noun,உடைப்பு / பிளவு / இடைவெளி,uṭaippu / piḷavu / iṭaiveḷi,,c1
breach (violation),noun,மீறல் / விதிமீறல் / ஒப்பந்த மீறல்,mīṟal / vitimīṟal / oppanta mīṟal,,c1
breakdown (detailed analysis),noun,விரிவான பகுப்பாய்வு / விவரப் பகுப்பாய்வு,virivāṉa pakuppāyvu / vivarap pakuppāyvu,,c1
breakdown (emotional collapse),noun,மனமுறிவு / மனச்சோர்வு / மன உளைச்சல்,maṉamuṟivu / maṉaccōrvu / maṉa uḷaiccal,,c1
breakdown (mechanical failure),noun,பழுது / இயந்திரக் கோளாறு / செயலிழப்பு,paḻutu / iyantirak kōḷāṟu / ceyaliḻappu,,c1
"breakthrough (discovery, major advance)",noun,திருப்புமுனை / பெரும் முன்னேற்றம் / கண்டுபிடிப்பு,tiruppumuṉai / perum muṉṉēṟṟam / kaṇṭupiṭippu,,c1
"breakthrough (military, strategic success)",noun,ஊடுருவல் / படை முன்னேற்றம் / வெற்றி,ūṭuruval / paṭai muṉṉēṟṟam / veṟṟi,,c1
broadband,noun,பிராட்பேண்ட் / அகலக்கற்றை,pirāṭpēṇṭ / akalakkaṟṟai,,c1
browser,noun,பிரவுசர் / உலாவி,piravucar / ulāvi,,c1
brutal (cruel and violent),adjective,கொடூரமான / மூர்க்கமான / வன்முறை,koṭūramāṉa / mūrkkamāṉa / vaṉmuṟai,,c1
brutal (harsh or severe),adjective,கடுமையான / கடுமை,kaṭumaiyāṉa / kaṭumai,,c1
buck (dollar),noun,டாலர்,ṭālar,,c1
buck (male animal),noun,கலைமான் / ஆண் ஆடு,kalaimāṉ / āṇ āṭu,,c1
"buddy (close friend, associate)",noun,நண்பன் / தோழன் / சினேகிதன்,naṇpaṉ / tōḻaṉ / ciṉēkitaṉ,,c1
buffer (computer memory),noun,பஃபர் / இடைநிலை நினைவகம்,pafar / iṭainilai niṉaivakam,,c1
buffer (protective barrier),noun,தடுப்பு / பாதுகாப்பு அரண் / காப்பு,taṭuppu / pātukāppu araṇ / kāppu,,c1
"buffer (reserve, cushion)",noun,காப்பீடு / பாதுகாப்பு / இருப்பு,kāppīṭu / pātukāppu / iruppu,,c1
bulk (majority or main part),noun,பெரும்பகுதி / பெரும் அளவு,perumpakuti / perum aḷavu,,c1
bulk (size or mass),noun,அளவு / கனம் / பருமன்,aḷavu / kaṉam / parumaṉ,,c1
burden,noun,சுமை / பாரம் / பளு,cumai / pāram / paḷu,,c1
bureaucracy (administration),noun,நிர்வாக அமைப்பு / அரசு நிர்வாகம்,nirvāka amaippu / aracu nirvākam,,c1
