id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
8540,parameter,noun,c1,nan,मापदंड (m) / प्राचल (m),मापदंड (m) / पैमाना (m) / मेयार (m),māpadaṁḍa (m) / prācal (m),māpadaṁḍa (m) / paimānā (m) / mēyār (m)
8541,parental,adjective,c1,nan,माता-पिता संबंधी / पैतृक / अभिभावकीय,वालिदैन संबंधी / पैतृक / सरपरस्ताना,mātā-pitā saṁbaṁdhī / paitr̥k / abhibhāvakīy,vālidain saṁbaṁdhī / paitr̥k / saraparastānā
8542,parish (administrative district),noun,c1,nan,प्रशासनिक ज़िला (m) / परगना (m),प्रशासनिक ज़िला (m) / परगना (m) / ज़िला-ए-इंतज़ामी (m),praśāsanik zilā (m) / paraganā (m),praśāsanik zilā (m) / paraganā (m) / zilā-ē-iṁtazāmī (m)
8543,parish (religious district),noun,c1,nan,धार्मिक ज़िला (m) / पल्ली (f),धार्मिक ज़िला (m) / पल्ली (f) / कलीसाई हलक़ा (m),dhārmik zilā (m) / pallī (f),dhārmik zilā (m) / pallī (f) / kalīsāī halaqā (m)
8544,parliamentary,adjective,c1,nan,संसदीय / पार्लियामेंट्री,पार्लियामेंट्री / संसदीय / पार्लीमानी,saṁsadīy / pārliyāmēṁṭrī,pārliyāmēṁṭrī / saṁsadīy / pārlīmānī
8545,partial (biased),adjective,c1,nan,पक्षपाती / तरफ़दार / भेदभावी,तरफ़दार / पक्षपाती / जानिबदार,pakṣapātī / tarafadār / bhēdabhāvī,tarafadār / pakṣapātī / jānibadār
8546,partial (incomplete),adjective,c1,nan,अधूरा / आंशिक / अपूर्ण,अधूरा / आंशिक / नाक़िस,adhūrā / āṁśik / apūrṇa,adhūrā / āṁśik / nāqis
8547,partially,adverb,c1,nan,आंशिक रूप से / कुछ हद तक / अंशतः,आंशिक तौर पर / कुछ हद तक / जुज़वी तौर पर,āṁśik rūp sē / kuch had tak / aṁśataḥ,āṁśik taur par / kuch had tak / juzavī taur par
8548,passing (death),noun,c1,nan,निधन (m) / देहांत (m) / मृत्यु (f),इंतक़ाल (m) / वफ़ात (f) / मौत (f),nidhan (m) / dēhāṁt (m) / mr̥tyu (f),iṁtaqāl (m) / vafāt (f) / maut (f)
8549,passing (success in test),noun,c1,nan,उत्तीर्णता (f) / पास होना (m) / सफलता (f),कामयाबी (f) / पास होना (m) / उत्तीर्णता (f),uttīrṇatā (f) / pās hōnā (m) / saphalatā (f),kāmayābī (f) / pās hōnā (m) / uttīrṇatā (f)
8550,passive (grammar),adjective,c1,nan,निष्क्रिय / कर्मवाच्य,निष्क्रिय / मज्हुल,niṣkriy / karmavācy,niṣkriy / maj_hul
8551,pastor,noun,c1,nan,पादरी (m) / धर्मगुरु (m),पादरी (m) / क़सीस (m),pādarī (m) / dharmaguru (m),pādarī (m) / qasīs (m)
8552,patch (repair material or medical adhesive),noun,c1,nan,पैबंद (m) / पट्टी (f) / टुकड़ा (m),पैबंद (m) / पट्टी (f) / टुकड़ा (m),paibaṁd (m) / paṭṭī (f) / ṭukaṛā (m),paibaṁd (m) / paṭṭī (f) / ṭukaṛā (m)
8553,patch (small area of ground),noun,c1,nan,टुकड़ा (m) / भूखंड (m) / क्यारी (f),टुकड़ा (m) / रकबा (m) / क़ितआ (m),ṭukaṛā (m) / bhūkhaṁḍa (m) / kyārī (f),ṭukaṛā (m) / rakabā (m) / qitaā (m)
8554,patch (software fix),noun,c1,nan,पैच (m) / सुधार (m) / अद्यतन (m),पैच (m) / दुरुस्ती (f) / सुधार (m),paic (m) / sudhār (m) / adyatan (m),paic (m) / durustī (f) / sudhār (m)
8555,patent,noun,c1,nan,पेटेंट (m) / एकस्व (m) / एकाधिकार (m),पेटेंट (m) / सनद-ए-इजाद (f) / इख़्तियार-ए-इम्तियाज़ी (m),pēṭēṁṭa (m) / ēkasv (m) / ēkādhikār (m),pēṭēṁṭa (m) / sanad-ē-ijād (f) / ik͟htiyār-ē-imtiyāzī (m)
8556,pathway (conceptual route or method),noun,c1,nan,रास्ता (m) / मार्ग (m) / तरीक़ा (m),रास्ता (m) / तरीक़ा (m) / राह (f),rāstā (m) / mārg (m) / tarīqā (m),rāstā (m) / tarīqā (m) / rāh (f)
8557,patrol (the act of observation),noun,c1,nan,गश्त (f) / निगरानी (f) / पहरा (m),गश्त (f) / निगरानी (f) / पहरा (m),gaśt (f) / nigarānī (f) / paharā (m),gaśt (f) / nigarānī (f) / paharā (m)
8558,"patrol (the unit, group)",noun,c1,nan,गश्ती दल (m) / दस्ता (m) / टुकड़ी (f),गश्ती दल (m) / दस्ता (m) / टुकड़ी (f),gaśtī dal (m) / dastā (m) / ṭukaṛī (f),gaśtī dal (m) / dastā (m) / ṭukaṛī (f)
8559,patron (customer of a business),noun,c1,nan,ग्राहक (m) / सरपरस्त (m) / संरक्षक (m),ग्राहक (m) / सरपरस्त (m) / मुहाफ़िज़ (m),grāhak (m) / saraparast (m) / saṁrakṣak (m),grāhak (m) / saraparast (m) / muhāfiz (m)
8560,"patron (supporter of arts, institution)",noun,c1,nan,संरक्षक (m) / आश्रयदाता (m) / पृष्ठपोषक (m),सरपरस्त (m) / मुरब्बी (m) / पुश्तपनाह (m),saṁrakṣak (m) / āśrayadātā (m) / pr̥ṣṭhapōṣak (m),saraparast (m) / murabbī (m) / puśtapanāh (m)
8561,"peak (highest intensity, maximum)",noun,c1,nan,चरम सीमा (f) / पराकाष्ठा (f) / शिखर (m),उरूज (m) / इंतिहा (f) / नुक्ता-ए-उरूज (m),caram sīmā (f) / parākāṣṭhā (f) / śikhar (m),urūj (m) / iṁtihā (f) / nuktā-ē-urūj (m)
8562,peak (mountain top),noun,c1,nan,चोटी (f) / शिखर (m) / शृंग (m),चोटी (f) / क़ुल्ला (m) / सर (m),cōṭī (f) / śikhar (m) / śr̥ṁg (m),cōṭī (f) / qullā (m) / sar (m)
8563,peasant (derogatory),noun,c1,nan,गँवार (m) / देहाती (m) / अशिष्ट (m),गँवार (m) / देहाती (m) / जाहिल (m),gam̐vār (m) / dēhātī (m) / aśiṣṭa (m),gam̐vār (m) / dēhātī (m) / jāhil (m)
8564,"peasant (rustic, villager)",noun,c1,nan,किसान (m) / ग्रामीण (m) / कृषक (m),किसान (m) / देहाती (m) / काश्तकार (m),kisān (m) / grāmīṇa (m) / kr̥ṣak (m),kisān (m) / dēhātī (m) / kāśtakār (m)
8565,peculiar (exclusive to),adjective,c1,nan,विशिष्ट / ख़ास / अनन्य,ख़ास / मख़्सूस / मुनफ़रिद,viśiṣṭa / k͟hās / anany,k͟hās / mak͟hsūs / munafarid
8566,peculiar (strange),adjective,c1,nan,अजीब / अनोखा / विचित्र,अजीब / अज़ीब-ओ-ग़रीब / नायाब,ajīb / anōkhā / vicitr,ajīb / azīb-ō-ġarīb / nāyāb
8567,persistent (in effort),adjective,c1,nan,लगातार / दृढ़ / अध्यवसायी,मुस्तक़िल / पायदार / साबित-क़दम,lagātār / dr̥ṛh / adhyavasāyī,mustaqil / pāyadār / sābit-qadam
8568,"persistent (lasting, recurring)",adjective,c1,nan,लगातार / स्थायी / चिरस्थायी,मुस्तक़िल / पायदार / मुसलसल,lagātār / sthāyī / cirasthāyī,mustaqil / pāyadār / musalasal
8569,personnel,noun,c1,nan,कर्मचारी (m) / स्टाफ़ (m) / कर्मीदल (m),अहलकार (m) / मुलाज़िमीन (m) / अमला (m),karmacārī (m) / sṭāf (m) / karmīdal (m),ahalakār (m) / mulāzimīn (m) / amalā (m)
8570,petition,noun,c1,nan,अर्जी (f) / आवेदन (m) / याचिका (f),अर्जी (f) / दरख़्वास्त (f) / इल्तिमास (m),arjī (f) / āvēdan (m) / yācikā (f),arjī (f) / darak͟hvāst (f) / iltimās (m)
8571,philosopher,noun,c1,nan,दार्शनिक (m) / तत्वज्ञानी (m),फ़लसफ़ी (m) / हकीम (m),dārśanik (m) / tatvajñānī (m),falasafī (m) / hakīm (m)
8572,"philosopher (knower of the fundamental truth, essence)",noun,c1,nan,तत्वज्ञानी (m) / ब्रह्मज्ञानी (m) / तत्ववेत्ता (m),आरिफ़ (m) / हकीम (m),tatvajñānī (m) / brahmajñānī (m) / tatvavēttā (m),ārif (m) / hakīm (m)
8573,"philosophical (calm, accepting)",adjective,c1,nan,शांत / धैर्यवान / तत्वदर्शी,फ़लसफ़ियाना / हकीमाना / सब्र करने वाला,śāṁt / dhairyavān / tatvadarśī,falasafiyānā / hakīmānā / sabr karanē vālā
8574,"philosophical (calm, resilient)",adjective,c1,nan,शांत / सहनशील / दृढ़,फ़लसफ़ियाना / हकीमाना / मुस्तक़िल मिज़ाज,śāṁt / sahanaśīl / dr̥ṛh,falasafiyānā / hakīmānā / mustaqil mizāj
8575,pioneer (settler or explorer),noun,c1,nan,अग्रदूत (m) / पथप्रदर्शक (m) / अग्रणी (m),पेशरो (m) / रहनुमा (m) / मुक़द्दम (m),agradūt (m) / pathapradarśak (m) / agraṇī (m),pēśarō (m) / rahanumā (m) / muqaddam (m)
8576,pipeline (physical structure for transport),noun,c1,nan,पाइपलाइन (f) / नलिका (f),पाइपलाइन (f) / नली (f),pāipalāin (f) / nalikā (f),pāipalāin (f) / nalī (f)
8577,pipeline (process or sequence of tasks),noun,c1,nan,प्रक्रिया (f) / कार्यप्रणाली (f) / कार्यप्रवाह (m),अमल (m) / तरीक़ा (m) / सिलसिला (m),prakriyā (f) / kāryapraṇālī (f) / kāryapravāh (m),amal (m) / tarīqā (m) / silasilā (m)
8578,pirate (IP infringer),noun,c1,nan,पायरेट (m) / उल्लंघनकर्ता (m) / अनाधिकृत कॉपी करने वाला (m),पायरेट (m) / उल्लंघनकर्ता (m) / क़ानून तोड़ने वाला (m),pāyarēṭa (m) / ullaṁghanakartā (m) / anādhikr̥t kôpī karanē vālā (m),pāyarēṭa (m) / ullaṁghanakartā (m) / qānūn tōṛanē vālā (m)
8579,pirate (sea robber),noun,c1,nan,समुद्री डाकू (m) / जलदस्यु (m),समुद्री डाकू (m) / क़ज़्ज़ाक़ (m),samudrī ḍākū (m) / jaladasyu (m),samudrī ḍākū (m) / qazzāq (m)
8580,"pit (fig., state of despair)",noun,c1,N/A,निराशा की खाई (f) / हताशा का गर्त (m),मायूसी की खाई (f) / नाउम्मीदी का गढ़ा (m) / ज़ुल्मत (f),nirāśā kī khāī (f) / hatāśā kā gart (m),māyūsī kī khāī (f) / nāummīdī kā gaṛhā (m) / zulmat (f)
8581,plea (legal defence statement),noun,c1,N/A,दलील (f) / बचाव (m) / प्रतिवाद (m),दलील (f) / सफ़ाई (f) / पैरवी (f),dalīl (f) / bacāv (m) / prativād (m),dalīl (f) / safāī (f) / pairavī (f)
8582,plea (urgent request),noun,c1,N/A,गुज़ारिश (f) / याचना (f) / विनती (f),गुज़ारिश (f) / इल्तिजा (f) / दरख़्वास्त (f),guzāriśa (f) / yācanā (f) / vinatī (f),guzāriśa (f) / iltijā (f) / darak͟hvāst (f)
8583,pledge (collateral),noun,c1,N/A,गिरवी (f) / बंधक (m) / प्रतिभूति (f),गिरवी (f) / रहन (m) / ज़मानत (f),giravī (f) / baṁdhak (m) / pratibhūti (f),giravī (f) / rahan (m) / zamānat (f)
8584,pledge (promise),noun,c1,N/A,वादा (m) / प्रतिज्ञा (f) / प्रण (m),वादा (m) / अहद (m) / इक़रार (m),vādā (m) / pratijñā (f) / praṇa (m),vādā (m) / ahad (m) / iqarār (m)
8585,plug (advertisement),noun,c1,N/A,प्रचार (m) / विज्ञापन (m) / चर्चा (f),प्रचार (m) / इश्तेहार (m) / तज़्किरा (m),pracār (m) / vijñāpan (m) / carcā (f),pracār (m) / iśtēhār (m) / tazkirā (m)
8586,plug (electrical connector),noun,c1,N/A,प्लग (m) / संयोजक (m),प्लग (m) / संयोजक (m),plag (m) / saṁyōjak (m),plag (m) / saṁyōjak (m)
8587,plug (stopper),noun,c1,N/A,डाट (f) / कॉर्क (m) / ढक्कन (m),डाट (f) / कॉर्क (m) / ढक्कन (m),ḍāṭa (f) / kôrk (m) / ḍhakkan (m),ḍāṭa (f) / kôrk (m) / ḍhakkan (m)
8588,pocket money,noun,c1,N/A,जेब ख़र्च (m) / हाथ ख़र्च (m),जेब ख़र्च (m) / हाथ ख़र्च (m),jēb k͟harc (m) / hāth k͟harc (m),jēb k͟harc (m) / hāth k͟harc (m)
8589,pole (geographic or magnetic),noun,c1,N/A,ध्रुव (m),क़ुतुब (m) / ध्रुव (m),dhruv (m),qutub (m) / dhruv (m)
8590,police custody,noun,c1,nan,पुलिस हिरासत (f) / पुलिस गिरफ़्तारी (f) / अभिरक्षा (f),पुलिस हिरासत (f) / पुलिस गिरफ़्तारी (f) / तहवील (f),pulis hirāsat (f) / pulis giraftārī (f) / abhirakṣā (f),pulis hirāsat (f) / pulis giraftārī (f) / tahavīl (f)
8591,police officer,noun,c1,nan,पुलिस अफ़सर (m) / पुलिस अधिकारी (m),पुलिस अफ़सर (m) / पुलिस ओहदेदार (m),pulis afasar (m) / pulis adhikārī (m),pulis afasar (m) / pulis ōhadēdār (m)
8592,"policeman, policewoman",noun,c1,nan,पुलिसवाला (m) / पुलिसवाली (f) / सिपाही (m) / पुलिसकर्मी (m),पुलिसवाला (m) / पुलिसवाली (f) / सिपाही (m) / पुलिसकर्मी (m),pulisavālā (m) / pulisavālī (f) / sipāhī (m) / pulisakarmī (m),pulisavālā (m) / pulisavālī (f) / sipāhī (m) / pulisakarmī (m)
8593,poll (election vote),noun,c1,nan,मतदान (m) / चुनाव (m) / जनमत संग्रह (m),इलेक्शन (m) / रायशुमारी (f) / मतदान (m),matadān (m) / cunāv (m) / janamat saṁgrah (m),ilēkśan (m) / rāyaśumārī (f) / matadān (m)
8594,poll (opinion survey),noun,c1,nan,जनमत सर्वेक्षण (m) / रायशुमारी (f) / सर्वेक्षण (m),सर्वे (m) / रायशुमारी (f) / जनमत सर्वेक्षण (m),janamat sarvēkṣaṇa (m) / rāyaśumārī (f) / sarvēkṣaṇa (m),sarvē (m) / rāyaśumārī (f) / janamat sarvēkṣaṇa (m)
8595,pond,noun,c1,nan,तालाब (m) / पोखर (m) / सरोवर (m),तालाब (m) / पोखर (m) / हौज़ (m),tālāb (m) / pōkhar (m) / sarōvar (m),tālāb (m) / pōkhar (m) / hauz (m)
8596,portfolio (collection of work),noun,c1,nan,पोर्टफ़ोलियो (m) / कार्य-संग्रह (m) / कृतियों का संग्रह (m),पोर्टफ़ोलियो (m) / दस्तावेज़ात का मजमूआ (m) / कारनामों का मजमूआ (m),pōrṭafōliyō (m) / kāry-saṁgrah (m) / kr̥tiyōṁ kā saṁgrah (m),pōrṭafōliyō (m) / dastāvēzāt kā majamūā (m) / kāranāmōṁ kā majamūā (m)
8597,portfolio (investments),noun,c1,nan,पोर्टफ़ोलियो (m) / निवेश पोर्टफ़ोलियो (m) / निवेश संग्रह (m),पोर्टफ़ोलियो (m) / सरमायाकारी पोर्टफ़ोलियो (m) / सरमायाकारी का मजमूआ (m),pōrṭafōliyō (m) / nivēśa pōrṭafōliyō (m) / nivēśa saṁgrah (m),pōrṭafōliyō (m) / saramāyākārī pōrṭafōliyō (m) / saramāyākārī kā majamūā (m)
8598,portfolio (ministerial responsibility),noun,c1,nan,मंत्रालय (m) / विभाग (m) / कार्यभार (m),महकमा (m) / वज़ारत (f) / ओहदा (m),maṁtrālay (m) / vibhāg (m) / kāryabhār (m),mahakamā (m) / vazārat (f) / ōhadā (m)
8599,post-war,adjective,c1,nan,युद्ध के बाद का / युद्धोत्तर,जंग के बाद का / माबाद-ए-जंग,yuddh kē bād kā / yuddhōttar,jaṁg kē bād kā / mābād-ē-jaṁg
8600,practitioner (of a skill or art),noun,c1,nan,अभ्यासी (m) / साधक (m) / कुशल (m),मुश्शाक़ (m) / माहिर (m) / फ़नकार (m),abhyāsī (m) / sādhak (m) / kuśal (m),muśśāq (m) / māhir (m) / fanakār (m)
8601,"practitioner (professional, medical)",noun,c1,nan,डॉक्टर (m) / चिकित्सक (m) / व्यवसायी (m),डॉक्टर (m) / हकीम (m) / पेशावर (m),ḍôkṭar (m) / cikitsak (m) / vyavasāyī (m),ḍôkṭar (m) / hakīm (m) / pēśāvar (m)
8602,precedent (example),noun,c1,nan,मिसाल (f) / उदाहरण (m) / नज़ीर (f) / दृष्टांत (m),मिसाल (f) / नज़ीर (f) / नमूना (m),misāl (f) / udāharaṇa (m) / nazīr (f) / dr̥ṣṭāṁt (m),misāl (f) / nazīr (f) / namūnā (m)
8603,precedent (legal ruling),noun,c1,nan,नज़ीर (f) / पूर्व-निर्णय (m) / दृष्टांत (m),नज़ीर (f) / साबिक़ा फ़ैसला (m) / क़ानूनी मिसाल (f),nazīr (f) / pūrv-nirṇay (m) / dr̥ṣṭāṁt (m),nazīr (f) / sābiqā faisalā (m) / qānūnī misāl (f)
8604,precision,noun,c1,nan,सटीकता (f) / शुद्धता (f) / बारीकी (f) / परिशुद्धता (f),दुरुस्तगी (f) / सटीकता (f) / नज़ाकत (f) / बारीकबीनी (f),saṭīkatā (f) / śuddhatā (f) / bārīkī (f) / pariśuddhatā (f),durustagī (f) / saṭīkatā (f) / nazākat (f) / bārīkabīnī (f)
8605,predator (exploiter),noun,c1,nan,शोषक (m) / लुटेरा (m) / शिकारी (m),शोषक (m) / ज़ालिम (m) / लुटेरा (m) / मुफ़ादपरस्त (m),śōṣak (m) / luṭērā (m) / śikārī (m),śōṣak (m) / zālim (m) / luṭērā (m) / mufādaparast (m)
8606,predator (sexual),noun,c1,nan,यौन शिकारी (m) / यौन अपराधी (m) / दुराचारी (m),जिंसी शिकारी (m) / जिंसी मुजरिम (m) / बदकार (m),yaun śikārī (m) / yaun aparādhī (m) / durācārī (m),jiṁsī śikārī (m) / jiṁsī mujarim (m) / badakār (m)
8607,predecessor (person),noun,c1,nan,पूर्ववर्ती (m) / पहले वाला (m) / पूर्व अधिकारी (m),साबिक़ (m) / पेशरो (m) / पहले वाला (m),pūrvavartī (m) / pahalē vālā (m) / pūrv adhikārī (m),sābiq (m) / pēśarō (m) / pahalē vālā (m)
8608,predecessor (thing),noun,c1,nan,पूर्ववर्ती (m) / पहले वाला (m) / पूर्वगामी (m),साबिक़ (m) / पहले वाला (m) / मा क़ब्ल (m),pūrvavartī (m) / pahalē vālā (m) / pūrvagāmī (m),sābiq (m) / pahalē vālā (m) / mā qabl (m)
8609,predominantly,adverb,c1,nan,मुख्यतः / प्रमुख रूप से / अधिकतर / प्रधानतः,ज़्यादातर / ख़ास तौर पर / अक्सरीयती तौर पर / नुमायां तौर पर,mukhyataḥ / pramukh rūp sē / adhikatar / pradhānataḥ,zyādātar / k͟hās taur par / aksarīyatī taur par / numāyāṁ taur par
8610,pregnancy,noun,c1,nan,गर्भावस्था (f) / गर्भधारण (m),हमल (m) / गर्भ (m),garbhāvasthā (f) / garbhadhāraṇa (m),hamal (m) / garbh (m)
8611,pregnant (clinical state),adjective,c1,nan,पेट से / हमल से / गर्भवती,हमल से / उम्मीद से / हामिला,pēṭa sē / hamal sē / garbhavatī,hamal sē / ummīd sē / hāmilā
8612,prejudice,noun,c1,nan,पक्षपात (m) / भेदभाव (m) / पूर्वाग्रह (m),तास्सुब (m) / तरफ़दारी (f) / इम्तियाज़ (m),pakṣapāt (m) / bhēdabhāv (m) / pūrvāgrah (m),tāssub (m) / tarafadārī (f) / imtiyāz (m)
8613,preliminary,adjective,c1,nan,शुरुआती / प्रारंभिक / आरंभिक / अग्रिम,शुरुआती / इब्तिदाई / तमहीदी,śuruātī / prāraṁbhik / āraṁbhik / agrim,śuruātī / ibtidāī / tamahīdī
8614,premier,adjective,c1,nan,प्रमुख / अग्रणी / प्रधान / सर्वप्रथम,अहम / अव्वल / नुमायाँ / सरताज,pramukh / agraṇī / pradhān / sarvapratham,aham / avval / numāyām̐ / saratāj
8615,premise (basis of an argument),noun,c1,nan,बुनियाद (f) / आधार (m),बुनियाद (f) / मबना (m),buniyād (f) / ādhār (m),buniyād (f) / mabanā (m)
8616,premise (physical property or location),noun,c1,nan,अहाता (m) / परिसर (m) / संपत्ति (f),अहाता (m) / परिसर (m) / ज़ायदाद (f),ahātā (m) / parisar (m) / saṁpatti (f),ahātā (m) / parisar (m) / zāyadād (f)
8617,"premium (bonus, reward)",noun,c1,nan,बोनस (m) / इनाम (m) / अधिलाभ (m),बोनस (m) / इनाम (m) / बख़्शिश (f),bōnas (m) / inām (m) / adhilābh (m),bōnas (m) / inām (m) / bak͟hśiśa (f)
8618,"preparation (product, mixture)",noun,c1,nan,घोल (m) / मिश्रण (m) / योग (m),घोल (m) / मुरक़्क़ब (m) / आमेज़िश (f),ghōl (m) / miśraṇa (m) / yōg (m),ghōl (m) / muraqqab (m) / āmēziśa (f)
8619,prescription,noun,c1,nan,दवा का परचा (m) / नुस्ख़ा (m) / औषधि-पत्र (m),दवा का पर्चा (m) / नुस्ख़ा (m) / तज्वीज़ (f),davā kā paracā (m) / nusk͟hā (m) / auṣadhi-patr (m),davā kā parcā (m) / nusk͟hā (m) / tajvīz (f)
8620,presently (currently),adverb,c1,nan,फ़िलहाल / अभी / वर्तमान में / इस समय,फ़िलहाल / अभी / मौजूदा तौर पर / इस वक़्त,filahāl / abhī / vartamān mēṁ / is samay,filahāl / abhī / maujūdā taur par / is vaqt
8621,presently (shortly),adverb,c1,nan,जल्द ही / थोड़ी देर में / शीघ्र ही / तत्काल,जल्द ही / थोड़ी देर में / अनक़रीब / क़रीब-उल-वक़्त,jald hī / thōṛī dēr mēṁ / śīghr hī / tatkāl,jald hī / thōṛī dēr mēṁ / anaqarīb / qarīb-ul-vaqt
8622,preservation,noun,c1,nan,हिफ़ाज़त (f) / बचाव (m) / संरक्षण (m) / परिरक्षण (m),हिफ़ाज़त (f) / बचाव (m) / तहफ़्फ़ुज़ (m) / निगहदाश्त (f),hifāzat (f) / bacāv (m) / saṁrakṣaṇa (m) / parirakṣaṇa (m),hifāzat (f) / bacāv (m) / tahaffuz (m) / nigahadāśt (f)
8623,presidency (historical colonial division),noun,c1,nan,प्रेसिडेंसी (f) / प्रांत (m),प्रेसिडेंसी (f) / सूबा (m),prēsiḍēṁsī (f) / prāṁt (m),prēsiḍēṁsī (f) / sūbā (m)
8624,presidency (historical region),noun,c1,nan,प्रेसिडेंसी (f) / प्रांत (m) / प्रदेश (m),प्रेसिडेंसी (f) / सूबा (m) / इलाक़ा (m),prēsiḍēṁsī (f) / prāṁt (m) / pradēśa (m),prēsiḍēṁsī (f) / sūbā (m) / ilāqā (m)
8625,presidential,adjective,c1,nan,राष्ट्रपति का / राष्ट्रपति से संबंधित / राष्ट्रपतीय / अध्यक्षात्मक,सदर का / सदर से मुतअल्लिक़ / सदारती / रयासती,rāṣṭrapati kā / rāṣṭrapati sē saṁbaṁdhit / rāṣṭrapatīy / adhyakṣātmak,sadar kā / sadar sē mutaalliq / sadāratī / rayāsatī
8626,prestigious,adjective,c1,nan,इज़्ज़तदार / प्रतिष्ठित / गौरवपूर्ण,इज़्ज़तदार / बा-वक़ार / मोअज़्ज़िज़ / बा-इज़्ज़त,izzatadār / pratiṣṭhit / gauravapūrṇa,izzatadār / bā-vaqār / mōazziz / bā-izzat
8627,presumably,adverb,c1,nan,शायद / मुमकिन है कि / संभवतः / अनुमानतः,शायद / ग़ालिबन / क़ियासन / इमकानात के मुताबिक़,śāyad / mumakin hai ki / saṁbhavataḥ / anumānataḥ,śāyad / ġāliban / qiyāsan / imakānāt kē mutābiq
8628,prevalence,noun,c1,nan,फैलाव (m) / आम होना (f) / व्यापकता (f) / प्रचलन (m),फैलाव (m) / आमियत (f) / शिद्दत (f) / ग़लबा (m),phailāv (m) / ām hōnā (f) / vyāpakatā (f) / pracalan (m),phailāv (m) / āmiyat (f) / śiddat (f) / ġalabā (m)
8629,prevention,noun,c1,nan,रोक (f) / बचाव (m) / रोकथाम (f) / निवारण (m),रोक (f) / बचाव (m) / रोकथाम (f) / इंतिज़ाम (m),rōk (f) / bacāv (m) / rōkathām (f) / nivāraṇa (m),rōk (f) / bacāv (m) / rōkathām (f) / iṁtizām (m)
8630,prey (victim of exploitation),noun,c1,nan,शिकार (m) / पीड़ित (m) / शोषित (m),शिकार (m) / ज़ेर-ए-इस्तेमाल (m) / मुस्तहसल (m),śikār (m) / pīṛit (m) / śōṣit (m),śikār (m) / zēr-ē-istēmāl (m) / mustahasal (m)
8631,principal (capital sum),noun,c1,nan,मूलधन (m) / असल रक़म (f) / पूंजी (f),असल रक़म (f) / असल ज़र् (m) / सरमाया (m),mūladhan (m) / asal raqam (f) / pūṁjī (f),asal raqam (f) / asal zar (m) / saramāyā (m)
8632,principal (head of institution),noun,c1,nan,प्रिंसिपल (m) / प्रधानाचार्य (m) / अध्यक्ष (m),प्रिंसिपल (m) / सरपरस्त (m) / सदर (m),priṁsipal (m) / pradhānācāry (m) / adhyakṣa (m),priṁsipal (m) / saraparast (m) / sadar (m)
8633,privatization,noun,c1,nan,निजीकरण (m),निजीकरण (m) / ख़ुसूसीकरण (m) / तख़सीस (f),nijīkaraṇa (m),nijīkaraṇa (m) / k͟husūsīkaraṇa (m) / tak͟hasīs (f)
8634,"privilege (benefit, advantage)",noun,c1,nan,फ़ायदा (m) / लाभ (m) / विशेषाधिकार (m),फ़ायदा (m) / इम्तियाज़ (m) / ख़ास हक़ (m),fāyadā (m) / lābh (m) / viśēṣādhikār (m),fāyadā (m) / imtiyāz (m) / k͟hās haq (m)
8635,privilege (honor or special opportunity),noun,c1,nan,सम्मान (m) / सौभाग्य (m) / विशेषाधिकार (m),शरफ़ (m) / इज़्ज़त (f) / इम्तियाज़ (m),sammān (m) / saubhāgy (m) / viśēṣādhikār (m),śaraf (m) / izzat (f) / imtiyāz (m)
8636,probe (instrument),noun,c1,nan,जांच यंत्र (m) / अन्वेषण यंत्र (m),जांच आला (m) / तहक़ीक़ाती आला (m),jāṁc yaṁtr (m) / anvēṣaṇa yaṁtr (m),jāṁc ālā (m) / tahaqīqātī ālā (m)
8637,probe (investigation),noun,c1,nan,जांच (f) / छानबीन (f) / अन्वेषण (m),जांच (f) / तहक़ीक़ (f) / तफ़्तीश (f),jāṁc (f) / chānabīn (f) / anvēṣaṇa (m),jāṁc (f) / tahaqīq (f) / taftīśa (f)
8638,"problematic (questionable, doubtful)",adjective,c1,nan,समस्याग्रस्त / संदिग्ध / विवादास्पद,मसलापरस्त / संदिग्ध / मुश्तबा,samasyāgrast / saṁdigdh / vivādāspad,masalāparast / saṁdigdh / muśtabā
8639,"proceeding (legal case, action)",noun,c1,nan,कार्यवाही (f) / मुक़दमा (m) / न्यायिक प्रक्रिया (f),कार्यवाही (f) / मुक़दमा (m) / अदालती कार्रवाई (f),kāryavāhī (f) / muqadamā (m) / nyāyik prakriyā (f),kāryavāhī (f) / muqadamā (m) / adālatī kārravāī (f)
8640,"proceeding (step, action taken)",noun,c1,nan,कार्रवाई (f) / कार्यवाही (f) / प्रक्रिया (f) / क़दम (m),कार्रवाई (f) / कार्यवाही (f) / इक़दाम (m) / अमल (m),kārravāī (f) / kāryavāhī (f) / prakriyā (f) / qadam (m),kārravāī (f) / kāryavāhī (f) / iqadām (m) / amal (m)
8641,proceeds,noun,c1,nan,नतीजा (m) / परिणाम (m) / फल (m),नतीजा (m) / हासिल (m) / परिणाम (m),natījā (m) / pariṇām (m) / phal (m),natījā (m) / hāsil (m) / pariṇām (m)
8642,proceeds (revenue),noun,c1,nan,आमदनी (f) / आय (f) / प्राप्ति (f) / लाभ (m),आमदनी (f) / हासिल (m) / मुनाफ़ा (m) / आय (f),āmadanī (f) / āy (f) / prāpti (f) / lābh (m),āmadanī (f) / hāsil (m) / munāfā (m) / āy (f)
