id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
6857,receiver (telephone handset),noun,b2,N/A,ರಿಸೀವರ್ / ದೂರವಾಣಿ ಗ್ರಾಹಕ,risīvar / dūravāṇi grāhaka
6858,receiver (signal device),noun,b2,N/A,ಗ್ರಾಹಕ / ಸ್ವೀಕಾರಕ / ರಿಸೀವರ್,grāhaka / svīkāraka / risīvar
6859,recent,adjective,a2,N/A,ಇತ್ತೀಚಿನ / ಈಚಿನ / ಹೊಸ,ittīcina / īcina / hosa
6860,"recently (just now, immediate past)",adverb,a2,N/A,ಈಗ ತಾನೇ / ಇದೀಗ,īga tānē / idīga
6861,"recently (lately, in recent times)",adverb,a2,N/A,ಇತ್ತೀಚೆಗೆ / ಈಚೆಗೆ,ittīcege / īcege
6862,"relative (family member, adjective)",adjective,b1,N/A,ಸಂಬಂಧದ / ಬಂಧುತ್ವದ,saṁbaṁdhada / baṁdhutvada
6863,"relative (family member, noun)",noun,b1,N/A,ಸಂಬಂಧಿ / ಬಂಧು / ನೆಂಟ,saṁbaṁdhi / baṁdhu / neṁṭa
6864,relatively (in comparison),adverb,b2,N/A,ಹೋಲಿಕೆಯಲ್ಲಿ / ಸಾಪೇಕ್ಷವಾಗಿ,hōlikeyalli / sāpēkṣavāgi
6865,"relatively (somewhat, moderately)",adverb,b2,N/A,ಸ್ವಲ್ಪ ಮಟ್ಟಿಗೆ / ಒಂದಿಷ್ಟು,svalpa maṭṭige / oṁdiṣṭu
6866,"to relax (to take a rest, leisure)",verb,a1,intransitive,ಆರಾಮ ಮಾಡು / ವಿಶ್ರಾಂತಿ ಪಡೆ,ārāma māḍu / viśrāṁti paḍe
6867,"to relax (to calm down, loosen tension)",verb,a1,intransitive,ಶಾಂತವಾಗು / ನಿರಾಳವಾಗು,śāṁtavāgu / nirāḷavāgu
6868,to relax (to loosen physical tension),verb,b1,intransitive,ಸಡಿಲವಾಗು / ಬಿಡುಬೀಸಾಗು,saḍilavāgu / biḍubīsāgu
6869,relaxed (calm),adjective,b1,N/A,ಶಾಂತವಾದ / ನಿರಾಳವಾದ,śāṁtavāda / nirāḷavāda
6870,relaxed (not strict),adjective,b1,N/A,ಸಡಿಲವಾದ / ಮೃದುವಾದ,saḍilavāda / mr̥duvāda
6871,relaxing,adjective,b1,N/A,ಆರಾಮದಾಯಕವಾದ / ವಿಶ್ರಾಂತಿದಾಯಕವಾದ,ārāmadāyakavāda / viśrāṁtidāyakavāda
6872,release (discharge),noun,b1,N/A,ಬಿಡುಗಡೆ / ವಿಮೋಚನೆ,biḍugaḍe / vimōcane
6873,release (product launch),noun,b1,N/A,ಬಿಡುಗಡೆ / ಪ್ರಾರಂಭ,biḍugaḍe / prāraṁbha
6874,"to release (a movie, product, prisoner)",verb,b1,transitive,ಬಿಡುಗಡೆ ಮಾಡು / ಬಿಡು / ಪ್ರಕಟಿಸು,biḍugaḍe māḍu / biḍu / prakaṭisu
6875,relevance,noun,c1,N/A,ಪ್ರಸ್ತುತತೆ / ಸಂಬಂಧಿತತೆ,prastutate / saṁbaṁdhitate
6876,relevant (general),adjective,b2,N/A,ಸಂಬಂಧಿಸಿದ / ಸಂಬಂಧಿತ,saṁbaṁdhisida / saṁbaṁdhita
6877,"relevant (pertinent, formal)",adjective,b2,N/A,ಪ್ರಸ್ತುತವಾದ / ಸೂಕ್ತವಾದ,prastutavāda / sūktavāda
6878,reliability,noun,c1,N/A,ವಿಶ್ವಾಸಾರ್ಹತೆ / ನಂಬಿಕಾರ್ಹತೆ,viśvāsārhate / naṁbikārhate
6879,reliable,adjective,b1,N/A,ನಂಬಲರ್ಹ / ವಿಶ್ವಾಸಾರ್ಹ,naṁbalarha / viśvāsārha
6880,relief (aid or disaster assistance),noun,b2,N/A,ಪರಿಹಾರ / ಸಹಾಯ,parihāra / sahāya
6881,relief (financial or tax reduction),noun,b2,N/A,ವಿನಾಯಿತಿ / ರಿಯಾಯಿತಿ,vināyiti / riyāyiti
6882,to relieve (replace on duty),verb,b2,transitive,ಕರ್ತವ್ಯದಿಂದ ಬಿಡುಗಡೆಗೊಳಿಸು / ಬದಲಾಯಿಸು,kartavyadiṁda biḍugaḍegoḷisu / badalāyisu
6883,"to relieve (oneself, euphemism)",verb,b2,intransitive,ಶೌಚಕ್ಕೆ ಹೋಗು / ಮೂತ್ರ ವಿಸರ್ಜಿಸು,śaucakke hōgu / mūtra visarjisu
6884,relieved (emotionally),adjective,b2,N/A,ನಿರಾಳವಾದ / ಸಮಾಧಾನಗೊಂಡ,nirāḷavāda / samādhānagoṁḍa
6885,relieved (of a burden or duty),adjective,b2,N/A,ಮುಕ್ತಗೊಂಡ / ಬಿಡುಗಡೆಗೊಂಡ,muktagoṁḍa / biḍugaḍegoṁḍa
6886,duty (moral obligation),noun,b1,N/A,ಕರ್ತವ್ಯ / ಧರ್ಮ,kartavya / dharma
6887,righteousness,noun,b1,N/A,ಧರ್ಮ / ನೀತಿ / ಸದಾಚಾರ,dharma / nīti / sadācāra
6888,religious,adjective,b1,N/A,ಧಾರ್ಮಿಕ / ಮತೀಯ,dhārmika / matīya
6889,reluctant,adjective,c1,N/A,ಮನಸ್ಸಿಲ್ಲದ / ಹಿಂಜರಿಯುವ / ಅನಿಷ್ಟ,manassillada / hiṁjariyuva / aniṣṭa
6890,to rely (to depend on),verb,b2,transitive,ಅವಲಂಬಿಸು / ಆಧರಿಸು,avalaṁbisu / ādharisu
6891,to rely (to trust in),verb,b2,transitive,ನಂಬು / ವಿಶ್ವಾಸವಿಡು,naṁbu / viśvāsaviḍu
6892,to remain (to continue in a state),verb,b1,intransitive,ಇರು / ಉಳಿದಿರು,iru / uḷidiru
6893,"remainder (the rest, balance)",noun,c1,N/A,ಉಳಿದ ಭಾಗ / ಬಾಕಿ / ಉಳಿಕೆ,uḷida bhāga / bāki / uḷike
6894,remainder (in arithmetic),noun,c1,N/A,ಶೇಷ,śēṣa
6895,remains (leftover matter),noun,c1,N/A,ಉಳಿಕೆ / ಶೇಷ / ಅವಶೇಷ,uḷike / śēṣa / avaśēṣa
6896,remains (corpse),noun,c1,N/A,ಮೃತದೇಹ / ಪಾರ್ಥಿವ ಶರೀರ / ಅವಶೇಷ,mr̥tadēha / pārthiva śarīra / avaśēṣa
6897,remark (noun),noun,b2,N/A,ಟಿಪ್ಪಣಿ / ಅಭಿಪ್ರಾಯ / ನುಡಿ,ṭippaṇi / abhiprāya / nuḍi
6898,"to remark (to state, comment generally)",verb,b2,transitive,ಟಿಪ್ಪಣಿ ಮಾಡು / ಅಭಿಪ್ರಾಯ ವ್ಯಕ್ತಪಡಿಸು / ಹೇಳು,ṭippaṇi māḍu / abhiprāya vyaktapaḍisu / hēḷu
6899,to remark (to comment critically),verb,b2,transitive,ಟೀಕಿಸು / ದೂಷಿಸು / ವಿಮರ್ಶಿಸು,ṭīkisu / dūṣisu / vimarśisu
6900,remarkable (strikingly extraordinary),adjective,b2,N/A,ಗಮನಾರ್ಹ / ಅಸಾಮಾನ್ಯ / ಅದ್ಭುತ / ವಿಶೇಷ,gamanārha / asāmānya / adbhuta / viśēṣa
6901,remarkably,adverb,b2,N/A,ಗಮನಾರ್ಹವಾಗಿ / ಅಸಾಮಾನ್ಯವಾಗಿ / ಅದ್ಭುತವಾಗಿ,gamanārhavāgi / asāmānyavāgi / adbhutavāgi
6902,remedy (legal recourse),noun,c1,N/A,ನ್ಯಾಯ ಪರಿಹಾರ / ಕಾನೂನು ಪರಿಹಾರ,nyāya parihāra / kānūnu parihāra
6903,to remind,verb,a1,transitive,ನೆನಪು ಮಾಡಿಸು / ನೆನಪಿಸು / ಜ್ಞಾಪಿಸು,nenapu māḍisu / nenapisu / jñāpisu
6904,to remind (of resemblance),verb,b1,transitive,ನೆನಪಿಸು / ಹೋಲಿಕೆ ನೆನಪಿಸು,nenapisu / hōlike nenapisu
6905,reminder (scheduled alert),noun,c1,N/A,ನೆನಪಿನೋಲೆ / ಜ್ಞಾಪನಾ / ಜ್ಞಾಪಕ ಪತ್ರ,nenapinōle / jñāpanā / jñāpaka patra
6906,reminder (something that evokes memory),noun,c1,N/A,ಜ್ಞಾಪಕ / ಸ್ಮರಣಿಕೆ / ನೆನಪಿನ ಕಾಣಿಕೆ,jñāpaka / smaraṇike / nenapina kāṇike
6907,remote (geographically distant),adjective,b1,N/A,ದೂರದ / ದುರ್ಗಮ / ಏಕಾಂತ,dūrada / durgama / ēkāṁta
6908,"remote (unlikely, improbable)",adjective,b1,N/A,ಅಸಂಭವನೀಯ / ಕಡಿಮೆ ಸಾಧ್ಯತೆ,asaṁbhavanīya / kaḍime sādhyate
6909,removal (dismissal),noun,c1,N/A,ವಜಾ / ಪದಚ್ಯುತಿ / ವಜಾಗೊಳಿಸುವಿಕೆ,vajā / padacyuti / vajāgoḷisuvike
6910,"to remove (an object, general)",verb,a2,transitive,ತೆಗೆ / ತೆಗೆದುಹಾಕು / ದೂರ ಮಾಡು,tege / tegeduhāku / dūra māḍu
6911,"to remove (clothing, accessories)",verb,a2,transitive,ಬಿಚ್ಚು / ಕಳಚು,biccu / kaḷacu
6912,to render (to provide service or assistance),verb,c1,transitive,ಸಲ್ಲಿಸು / ಒದಗಿಸು / ನೀಡು,sallisu / odagisu / nīḍu
6913,to render (to make or cause to be),verb,c1,transitive,ಮಾಡು / ಆಗಿಸು,māḍu / āgisu
6914,"to render (computing, graphics display)",verb,c1,transitive,ಪ್ರದರ್ಶಿಸು / ತೋರಿಸು,pradarśisu / tōrisu
6915,"to renew (refresh, restore vigor)",verb,c1,transitive,ಚೈತನ್ಯಗೊಳಿಸು / ಪುನಶ್ಚೇತನಗೊಳಿಸು,caitanyagoḷisu / punaścētanagoḷisu
6916,renowned,adjective,c1,N/A,ಹೆಸರಾಂತ / ಪ್ರಸಿದ್ಧ / ಖ್ಯಾತ,hesarāṁta / prasiddha / khyāta
6917,rent (tear or split),noun,b2,N/A,ಸೀಳು / ಬಿರುಕು,sīḷu / biruku
6918,"to rent (out, lease)",verb,b1,transitive,ಬಾಡಿಗೆಗೆ ಕೊಡು / ಗುತ್ತಿಗೆಗೆ ಕೊಡು,bāḍigege koḍu / guttigege koḍu
6919,"to rent (in, take on lease)",verb,b1,transitive,ಬಾಡಿಗೆಗೆ ತೆಗೆದುಕೋ / ಗುತ್ತಿಗೆಗೆ ತೆಗೆದುಕೋ,bāḍigege tegedukō / guttigege tegedukō
6920,rental (property or item),noun,c1,N/A,ಬಾಡಿಗೆ ವಸ್ತು / ಬಾಡಿಗೆ,bāḍige vastu / bāḍige
6921,repair,noun,b1,N/A,ದುರಸ್ತಿ / ಮರಮ್ಮತ್ತು / ಸರಿಪಡಿಸುವಿಕೆ,durasti / marammattu / saripaḍisuvike
6922,"to repair (major damage, structure)",verb,a2,transitive,ದುರಸ್ತಿ ಮಾಡು / ಸರಿಪಡಿಸು / ಮರಮ್ಮತ್ತು ಮಾಡು,durasti māḍu / saripaḍisu / marammattu māḍu
6923,repeat,noun,b1,N/A,ಪುನರಾವರ್ತನೆ / ಮರುಕಳಿಸುವಿಕೆ,punarāvartane / marukaḷisuvike
6924,to repeat (reiterate or practice),verb,b1,transitive,ಪುನರಾವರ್ತಿಸು / ಮತ್ತೆ ಹೇಳು / ಅಭ್ಯಾಸ ಮಾಡು,punarāvartisu / matte hēḷu / abhyāsa māḍu
6925,repeated,adjective,b1,N/A,ಪುನರಾವರ್ತಿತ / ಮರುಕಳಿಸಿದ,punarāvartita / marukaḷisida
6926,to replace (to put back),verb,a2,transitive,ಮರಳಿ ಇಡು / ಪುನಃ ಇಡು,maraḷi iḍu / punaḥ iḍu
6927,"to replace (to succeed, take the place of)",verb,b1,transitive,ಬದಲಾಯಿಸು / ಸ್ಥಾನ ತುಂಬು / ಬದಲಿ ಇಡು,badalāyisu / sthāna tuṁbu / badali iḍu
6928,replacement (substitute item or person),noun,c1,N/A,ಬದಲಿ / ಪರ್ಯಾಯ,badali / paryāya
6929,replacement (act of substitution),noun,c1,N/A,ಬದಲಾವಣೆ / ಬದಲಾಯಿಸುವಿಕೆ,badalāvaṇe / badalāyisuvike
6930,"reply (formal, written communication)",noun,a2,N/A,ಪ್ರತ್ಯುತ್ತರ / ಪ್ರತಿಕ್ರಿಯೆ,pratyuttara / pratikriye
6931,reply (general answer),noun,a2,N/A,ಉತ್ತರ / ಪ್ರತಿಕ್ರಿಯೆ,uttara / pratikriye
6932,"to respond (to a communication, statement)",verb,a2,transitive,ಉತ್ತರ ಕೊಡು / ಪ್ರತಿಕ್ರಿಯಿಸು / ಉತ್ತರಿಸು,uttara koḍu / pratikriyisu / uttarisu
6933,report (academic grade),noun,a1,N/A,ಅಂಕಪಟ್ಟಿ / ಪ್ರಗತಿ ವರದಿ,aṁkapaṭṭi / pragati varadi
6934,"to report (information, news)",verb,a2,transitive,ವರದಿ ಮಾಡು / ತಿಳಿಸು / ಮಾಹಿತಿ ನೀಡು,varadi māḍu / tiḷisu / māhiti nīḍu
6935,to report (a complaint),verb,a2,transitive,ದೂರು ಕೊಡು / ದೂರು ನೀಡು / ದೂರು ಸಲ್ಲಿಸು,dūru koḍu / dūru nīḍu / dūru sallisu
6936,"reportedly (apparently, I hear)",adverb,c1,N/A,ಹಾಗಂತೆ / ಅಂತೆ / ಕೇಳಿದ ಪ್ರಕಾರ,hāgaṁte / aṁte / kēḷida prakāra
6937,reportedly (according to reports),adverb,c1,N/A,ವರದಿಗಳ ಪ್ರಕಾರ / ವರದಿಗಳ ಅನ್ವಯ,varadigaḷa prakāra / varadigaḷa anvaya
6938,"reporter (journalist, formal)",noun,a2,N/A,ವರದಿಗಾರ / ಸುದ್ದಿಗಾರ / ಪತ್ರಕರ್ತ,varadigāra / suddigāra / patrakarta
6939,"reporting (journalism, news coverage)",noun,b2,N/A,ವರದಿಗಾರಿಕೆ / ಸುದ್ದಿ ಸಂಗ್ರಹ,varadigārike / suddi saṁgraha
6940,reporting (formal documentation),noun,b2,N/A,ವರದಿ ಮಾಡುವಿಕೆ / ವರದಿ ಸಲ್ಲಿಕೆ,varadi māḍuvike / varadi sallike
6941,to represent (act as a delegate),verb,b1,transitive,ಪ್ರತಿನಿಧಿಸು / ಪರವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸು,pratinidhisu / paravāgi kāryanirvahisu
6942,to represent (to symbolize or depict),verb,b1,transitive,ನಿರೂಪಿಸು / ಚಿತ್ರಿಸು / ಸೂಚಿಸು,nirūpisu / citrisu / sūcisu
6943,"representation (depiction, image)",noun,c1,N/A,ನಿರೂಪಣೆ / ಚಿತ್ರಣ / ಪ್ರತಿರೂಪ,nirūpaṇe / citraṇa / pratirūpa
6944,"representation (formal statement, plea)",noun,c1,N/A,ಮನವಿ / ನಿವೇದನೆ / ಅರ್ಜಿ,manavi / nivēdane / arji
6945,representative (political system),adjective,b2,N/A,ಪ್ರಾತಿನಿಧಿಕ / ಪ್ರತಿನಿಧಿಸುವ,prātinidhika / pratinidhisuva
6946,representative (sales agent),noun,b2,N/A,ಪ್ರತಿನಿಧಿ / ವಿಕ್ರಯ ಪ್ರತಿನಿಧಿ / ಏಜೆಂಟ್,pratinidhi / vikraya pratinidhi / ējeṁṭ
6947,to reproduce (biologically),verb,c1,intransitive,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡು / ವೃದ್ಧಿಸು,saṁtānōtpatti māḍu / vr̥ddhisu
6948,"to reproduce (to copy, duplicate)",verb,c1,transitive,ಪುನರುತ್ಪಾದಿಸು / ನಕಲು ಮಾಡು / ಪ್ರತಿ ಮಾಡು,punarutpādisu / nakalu māḍu / prati māḍu
6949,"reproduction (biological, procreation)",noun,c1,N/A,ಸಂತಾನೋತ್ಪತ್ತಿ / ವೃದ್ಧಿ,saṁtānōtpatti / vr̥ddhi
6950,"reproduction (copying, duplication)",noun,c1,N/A,ಪುನರುತ್ಪಾದನೆ / ನಕಲು / ಪ್ರತಿಕೃತಿ,punarutpādane / nakalu / pratikr̥ti
6951,republic,noun,c1,N/A,ಗಣರಾಜ್ಯ,gaṇarājya
6952,reputation (social standing),noun,b2,N/A,ಪ್ರತಿಷ್ಠೆ / ಮರ್ಯಾದೆ / ಗೌರವ,pratiṣṭhe / maryāde / gaurava
6953,"reputation (fame, renown)",noun,b2,N/A,ಕೀರ್ತಿ / ಖ್ಯಾತಿ / ಹೆಸರು,kīrti / khyāti / hesaru
6954,request (formal application or public demand),noun,a2,N/A,ಅರ್ಜಿ / ವಿನಂತಿ / ಮನವಿ,arji / vinaṁti / manavi
6955,request (demand),noun,b1,N/A,ಬೇಡಿಕೆ / ಆಗ್ರಹ,bēḍike / āgraha
6956,to request (general asking),verb,b1,transitive,ಕೇಳು / ಕೇಳಿಕೊ,kēḷu / kēḷiko
6957,"to request (formally, to appeal)",verb,b1,transitive,ವಿನಂತಿಸು / ಮನವಿ ಮಾಡು,vinaṁtisu / manavi māḍu
6958,to require (to mandate),verb,b1,transitive,ವಿಧಿಸು / ಕಡ್ಡಾಯಗೊಳಿಸು,vidhisu / kaḍḍāyagoḷisu
6959,to require (to need),verb,b1,intransitive,ಅವಶ್ಯಕವಾಗಿರು / ಅಗತ್ಯವಾಗಿರು / ಬೇಕು,avaśyakavāgiru / agatyavāgiru / bēku
6960,rubber (material),adjective,b2,N/A,ರಬ್ಬರ್ನ / ರಬ್ಬರ್,rabbarna / rabbar
6961,rubber (eraser),adjective,b2,N/A,ರಬ್ಬರ್,rabbar
6962,rubber (material),noun,b2,N/A,ರಬ್ಬರ್,rabbar
6963,rubber (eraser),noun,b2,N/A,ರಬ್ಬರ್ / ಅಳಿಸುಗ,rabbar / aḷisuga
6964,rubbish (waste material),noun,a2,N/A,ಕಸ / ಕಸಕಡ್ಡಿ / ತ್ಯಾಜ್ಯ,kasa / kasakaḍḍi / tyājya
6965,rubbish (nonsense),noun,a2,N/A,ಹುಚ್ಚು ಮಾತು / ನಿರರ್ಥಕ ಮಾತು / ಅರ್ಥಹೀನ ಮಾತು,huccu mātu / nirarthaka mātu / arthahīna mātu
6966,"rude (of a person, rough or brusque)",adjective,a2,N/A,ಒರಟು / ಅಶಿಷ್ಟ / ದುರ್ವಿನಯ,oraṭu / aśiṣṭa / durvinaya
6967,"rude (of a comment or action, impolite or indecent)",adjective,a2,N/A,ಅಸಭ್ಯ / ಅಶಿಷ್ಟ / ಶಿಷ್ಟವಲ್ಲದ,asabhya / aśiṣṭa / śiṣṭavallada
6968,rugby,noun,b1,N/A,ರಗ್ಬಿ,ragbi
6969,"ruin (destruction, failure)",noun,b2,N/A,ನಾಶ / ವಿನಾಶ / ಅಳಿವು,nāśa / vināśa / aḷivu
6970,"ruin (physical remnants, usually plural)",noun,b2,N/A,ಅವಶೇಷಗಳು / ಭಗ್ನಾವಶೇಷಗಳು,avaśēṣagaḷu / bhagnāvaśēṣagaḷu
6971,to ruin (destroy completely),verb,b2,transitive,ನಾಶಮಾಡು / ಧ್ವಂಸಮಾಡು / ಅಳಿಸು,nāśamāḍu / dhvaṁsamāḍu / aḷisu
6972,to ruin (spoil quality or status),verb,b2,transitive,ಕೆಡಿಸು / ಹಾಳುಮಾಡು,keḍisu / hāḷumāḍu
6973,"rule (regulation, guideline)",noun,a1,N/A,ನಿಯಮ / ಸೂತ್ರ / ಕಟ್ಟುಪಾಡು,niyama / sūtra / kaṭṭupāḍu
6974,"rule (governance, dominion)",noun,a1,N/A,ಆಡಳಿತ / ಆಳ್ವಿಕೆ / ರಾಜ್ಯಭಾರ / ಸರ್ಕಾರ,āḍaḷita / āḷvike / rājyabhāra / sarkāra
6975,to rule (govern),verb,b1,transitive,ಆಳು / ಆಡಳಿತ ನಡೆಸು / ರಾಜ್ಯಭಾರ ಮಾಡು,āḷu / āḍaḷita naḍesu / rājyabhāra māḍu
6976,to rule (adjudicate),verb,b1,transitive,ತೀರ್ಪು ಕೊಡು / ನಿರ್ಣಯಿಸು / ತೀರ್ಮಾನಿಸು,tīrpu koḍu / nirṇayisu / tīrmānisu
6977,ruling (legal decision),noun,c1,N/A,ತೀರ್ಪು / ನಿರ್ಣಯ / ತೀರ್ಮಾನ,tīrpu / nirṇaya / tīrmāna
6978,ruling (act of governance),noun,c1,N/A,ಆಡಳಿತ / ಆಳ್ವಿಕೆ / ರಾಜ್ಯಭಾರ,āḍaḷita / āḷvike / rājyabhāra
6979,rumour,noun,c1,N/A,ವದಂತಿ / ಗಾಸಿಪ್ / ಸುದ್ದಿ,vadaṁti / gāsip / suddi
6980,run (a streak or series),noun,a2,N/A,ಸರಣಿ / ಪರಂಪರೆ / ಶ್ರೇಣಿ,saraṇi / paraṁpare / śrēṇi
6981,"to run (liquid, flow)",verb,a1,intransitive,ಹರಿ / ಪ್ರವಹಿಸು,hari / pravahisu
6982,runner (messenger),noun,a2,N/A,ದೂತ / ಸಂದೇಶವಾಹಕ,dūta / saṁdēśavāhaka
6983,"runner (assistant, errand boy)",noun,a2,N/A,ಸಹಾಯಕ / ಕೆಲಸಗಾರ / ಸೇವಕ,sahāyaka / kelasagāra / sēvaka
6984,runner (mat or fabric),noun,a2,N/A,ಉದ್ದನೆಯ ಹಾಸು / ಹಾಸು,uddaneya hāsu / hāsu
6985,running (operation or management),noun,a2,N/A,ನಿರ್ವಹಣೆ / ಆಡಳಿತ / ಕಾರ್ಯಾಚರಣೆ,nirvahaṇe / āḍaḷita / kāryācaraṇe
6986,rural,adjective,b2,N/A,ಗ್ರಾಮೀಣ / ಹಳ್ಳಿಯ / ಗ್ರಾಮದ,grāmīṇa / haḷḷiya / grāmada
6987,"rush (of people, traffic)",noun,b2,N/A,ಜನದಟ್ಟಣೆ / ದಟ್ಟಣೆ / ತಿಕ್ಕಾಟ,janadaṭṭaṇe / daṭṭaṇe / tikkāṭa
6988,"rush (busy period, surge)",noun,b2,N/A,ಭರಾಟೆ / ತುರ್ತು / ವೇಗ,bharāṭe / turtu / vēga
6989,"rush (of feeling, adrenaline)",noun,b2,N/A,ಉದ್ವೇಗ / ಭಾವಾವೇಶ,udvēga / bhāvāvēśa
6990,to rush (to transport quickly),verb,b2,transitive,ಬೇಗ ಸಾಗಿಸು / ತುರ್ತಾಗಿ ಸಾಗಿಸು,bēga sāgisu / turtāgi sāgisu
6991,to rush (to attack or charge),verb,b2,transitive,ಧಾವಿಸು / ಮುನ್ನುಗ್ಗು / ದಾಳಿ ಮಾಡು,dhāvisu / munnuggu / dāḷi māḍu
6992,to rush (to attack),verb,b2,transitive,ಧಾಳಿ ಮಾಡು / ಆಕ್ರಮಿಸು,dhāḷi māḍu / ākramisu
6993,to sack (from employment),verb,c1,transitive,ವಜಾ ಮಾಡು / ಕೆಲಸದಿಂದ ತೆಗೆದುಹಾಕು,vajā māḍu / kelasadiṁda tegeduhāku
6994,to sack (a city),verb,c1,transitive,ಸೂರೆ ಮಾಡು / ಕೊಳ್ಳೆ ಹೊಡೆ,sūre māḍu / koḷḷe hoḍe
6995,"to sack (a city, pillage)",verb,c1,transitive,ಲೂಟಿ ಮಾಡು / ದೋಚು,lūṭi māḍu / dōcu
6996,"sacred (holy, religious)",adjective,c1,N/A,ಪವಿತ್ರ / ಪಾವನ / ಪುಣ್ಯ,pavitra / pāvana / puṇya
6997,"sacred (inviolable, protected)",adjective,c1,N/A,ಪಾವನ / ಅಲಂಘನೀಯ / ಪೂಜ್ಯನೀಯ,pāvana / alaṁghanīya / pūjyanīya
6998,sacred (inviolable),adjective,c1,N/A,ಅಲಂಘನೀಯ / ಉಲ್ಲಂಘಿಸಲಾಗದ,alaṁghanīya / ullaṁghisalāgada
6999,sacrifice (giving something up),noun,c1,N/A,ತ್ಯಾಗ / ಬಿಟ್ಟುಕೊಡುವುದು,tyāga / biṭṭukoḍuvudu
7000,sacrifice (religious offering),noun,c1,N/A,ಬಲಿ / ಯಜ್ಞ / ಯಾಗ,bali / yajña / yāga
7001,to sacrifice (to give up something),verb,c1,transitive,ತ್ಯಾಗ ಮಾಡು / ಬಿಟ್ಟುಕೊಡು / ಅರ್ಪಿಸು,tyāga māḍu / biṭṭukoḍu / arpisu
7002,to sacrifice (to offer ritually),verb,c1,transitive,ಬಲಿ ಕೊಡು / ಯಜ್ಞ ಮಾಡು / ಅರ್ಪಿಸು,bali koḍu / yajña māḍu / arpisu
7003,sad,adjective,a1,N/A,ದುಃಖಿತ / ಬೇಸರವಾದ / ವಿಷಾದದ,duḥkhita / bēsaravāda / viṣādada
7004,sad (feeling unhappy),adjective,a1,N/A,ಬೇಸರವಾದ / ದುಃಖಿತ / ಖಿನ್ನ,bēsaravāda / duḥkhita / khinna
7005,sadly (with sorrow),adverb,a2,N/A,ದುಃಖದಿಂದ / ವಿಷಾದದಿಂದ,duḥkhadiṁda / viṣādadiṁda
7006,"sadly (unfortunately, regrettably)",adverb,a2,N/A,ದುರದೃಷ್ಟವಶಾತ್ / ವಿಷಾದನೀಯವಾಗಿ,duradr̥ṣṭavaśāt / viṣādanīyavāgi
7007,safe,adjective,a2,N/A,ಸುರಕ್ಷಿತ / ಭದ್ರ / ಅಪಾಯವಿಲ್ಲದ,surakṣita / bhadra / apāyavillada
7008,safety,noun,b1,N/A,ಸುರಕ್ಷತೆ / ಭದ್ರತೆ,surakṣate / bhadrate
7009,sailing,noun,b1,N/A,ನೌಕಾಯಾನ / ಹಡಗುಯಾನ,naukāyāna / haḍaguyāna
7010,to sail,verb,a2,intransitive,ನೌಕಾಯಾನ ಮಾಡು / ಹಡಗು ಚಲಾಯಿಸು,naukāyāna māḍu / haḍagu calāyisu
7011,sailing,noun,a2,N/A,ನೌಕಾಯಾನ / ಹಡಗುಯಾನ,naukāyāna / haḍaguyāna
7012,sailor (mariner),noun,b1,N/A,ನಾವಿಕ / ಹಡಗು ಸಿಬ್ಬಂದಿ,nāvika / haḍagu sibbaṁdi
7013,sailor (naval personnel),noun,b1,N/A,ನೌಕಾ ಸಿಬ್ಬಂದಿ / ನೌಕಾಪಡೆಯ ಸೈನಿಕ,naukā sibbaṁdi / naukāpaḍeya sainika
7014,"sailor (Naval, military)",noun,b1,N/A,ನೌಕಾಪಡೆಯ ಸೈನಿಕ / ನೌಕಾ ಯೋಧ,naukāpaḍeya sainika / naukā yōdha
7015,"saint (ascetic, sage)",noun,c1,N/A,ಋಷಿ / ಮುನಿ / ಸಾಧು / ಸಂತ,r̥ṣi / muni / sādhu / saṁta
7016,sake (welfare or benefit),noun,c1,N/A,ಹಿತ / ಒಳಿತು / ಪ್ರಯೋಜನ,hita / oḷitu / prayōjana
7017,sake (purpose or reason),noun,c1,N/A,ಉದ್ದೇಶ / ಕಾರಣ / ನಿಮಿತ್ತ,uddēśa / kāraṇa / nimitta
7019,wages (daily labor pay),noun,a2,N/A,ಕೂಲಿ / ವೇತನ / ಸಂಬಳ,kūli / vētana / saṁbaḷa
7020,sale (transaction),noun,a2,N/A,ಮಾರಾಟ / ವಿಕ್ರಯ,mārāṭa / vikraya
7021,sale (discount event),noun,a2,N/A,ರಿಯಾಯಿತಿ ಮಾರಾಟ / ಕಡಿತ ಮಾರಾಟ / ವಿಶೇಷ ಮಾರಾಟ,riyāyiti mārāṭa / kaḍita mārāṭa / viśēṣa mārāṭa
7022,salt,noun,a1,N/A,ಉಪ್ಪು / ಲವಣ,uppu / lavaṇa
7023,same (the very same one),adjective,a1,N/A,ಅದೇ / ಅದೇ ರೀತಿ,adē / adē rīti
7024,same (equal or similar),adjective,a1,N/A,ಸಮಾನ / ಒಂದೇ ತರಹದ / ಸಮರೂಪದ,samāna / oṁdē tarahada / samarūpada
7025,same (that specific one),adverb,a1,N/A,ಅದೇ / ಹಾಗೆಯೇ,adē / hāgeyē
